capacite;effectif_total_candidats;effectif_total_candidates;effectif_total_proposition_admission;effectif_total_admis;effectif_total_admises;effectif_total_admis_boursiers_neo_bac;effectif_total_admis_neo_bac;effectif_admis_meme_academie
24;347;17;91;19;0;5;17;16
35;799;380;194;14;3;3;5;4
50;581;259;237;47;30;8;41;40
35;311;40;155;30;1;6;20;19
35;284;243;143;21;21;6;18;14
35;411;357;159;32;28;2;23;21
76;588;177;175;67;16;7;61;35
24;138;32;76;21;3;3;17;16
24;306;171;138;14;10;7;10;10
15;106;10;36;14;1;5;12;11
35;1489;633;187;33;18;7;24;23
15;84;4;34;16;1;6;16;16
24;469;160;96;21;0;8;16;16
30;422;45;109;29;1;5;25;24
168;2479;1229;877;162;84;70;144;142
140;635;511;426;134;110;33;85;67
15;248;46;71;12;2;2;6;6
24;150;5;63;20;0;11;20;19
30;324;21;98;16;0;4;11;11
15;315;57;44;12;2;4;7;7
15;318;64;39;5;0;2;5;5
24;433;91;83;18;0;3;14;14
6;771;224;10;6;1;1;6;2
24;215;123;67;16;10;0;8;8
35;105;102;88;23;23;6;16;15
26;148;25;87;24;3;2;24;20
24;134;9;58;18;0;8;18;17
34;404;229;112;30;23;7;29;11
12;124;6;46;12;0;2;11;10
48;330;83;184;38;4;4;34;34
92;2320;817;427;92;35;4;92;62
18;262;40;57;17;1;2;14;14
36;98;38;71;29;13;8;19;19
30;468;59;90;19;1;4;17;16
35;207;110;79;17;9;8;15;15
18;135;11;49;16;2;8;12;12
35;798;137;120;33;1;11;23;22
24;99;47;55;23;9;9;15;13
62;550;172;120;59;24;0;56;24
24;605;270;120;23;11;9;13;11
35;1513;727;185;33;19;13;26;23
59;2326;1292;280;57;34;14;41;32
30;232;21;86;30;3;12;19;17
15;274;22;37;15;0;7;15;15
15;233;23;73;17;0;6;14;12
30;2015;1447;193;25;23;4;10;8
15;59;4;25;10;1;3;8;8
13;779;115;41;13;1;4;10;6
13;1020;269;42;12;4;1;7;2
13;270;47;36;13;3;4;11;9
32;678;359;142;28;17;9;15;14
24;145;14;75;18;3;10;17;15
32;240;17;107;21;1;16;20;19
16;185;20;62;17;0;4;8;8
32;159;12;113;21;2;7;13;13
35;512;294;140;30;18;20;23;23
30;235;10;78;27;1;12;23;23
48;503;268;250;19;10;3;19;12
59;1733;818;310;63;29;22;41;39
35;245;130;85;31;19;18;28;27
48;1167;797;277;51;39;6;48;19
100;2148;1330;236;96;72;12;87;52
39;4820;4064;759;38;33;3;16;13
173;4213;1979;859;166;84;53;146;113
34;222;108;66;22;7;1;8;8
35;164;84;86;21;9;6;15;15
32;125;73;69;18;9;2;9;9
35;287;33;131;26;0;3;15;14
30;97;12;64;13;0;3;7;6
30;78;34;48;14;5;1;10;10
36;139;50;71;11;3;1;10;9
20;44;4;31;13;1;2;13;13
36;505;233;49;19;8;9;19;19
24;211;60;93;18;6;4;13;10
36;372;121;123;34;5;2;29;22
35;212;35;104;27;3;8;18;18
120;1053;774;622;119;84;24;74;58
40;231;165;52;28;22;1;5;4
90;480;221;287;80;36;13;55;45
100;942;366;467;79;33;9;39;13
15;71;11;37;6;0;0;5;5
30;100;10;48;18;0;3;16;16
15;67;6;27;8;0;0;8;8
66;1132;915;273;54;48;12;20;16
58;1408;1075;240;56;42;6;41;20
36;120;32;92;19;6;4;17;17
35;227;84;92;30;6;12;27;27
35;465;245;88;32;27;17;29;29
20;105;49;65;11;7;2;6;5
15;281;66;67;12;1;4;12;10
35;139;84;61;10;9;4;7;7
39;190;51;145;16;3;4;11;10
35;189;49;122;19;3;1;13;9
124;1086;477;459;130;52;25;95;82
35;594;280;98;33;17;13;25;25
33;675;337;128;30;16;8;24;22
33;494;242;101;26;15;13;25;23
15;167;12;52;14;0;4;11;10
18;274;139;71;15;5;4;11;10
32;496;78;90;31;2;14;30;21
15;71;8;31;12;0;1;11;9
15;201;36;53;13;0;0;6;6
48;692;354;295;15;7;1;14;9
30;609;286;131;21;8;4;14;12
30;217;14;72;20;2;4;13;9
33;478;310;123;35;25;19;29;27
33;399;194;65;34;16;18;26;26
35;95;22;76;15;3;1;10;1
